
---------- Begin Simulation Statistics ----------
simSeconds                                   0.004475                       # Number of seconds simulated (Second)
simTicks                                   4475499000                       # Number of ticks simulated (Tick)
finalTick                                  4475499000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     32.26                       # Real time elapsed on the host (Second)
hostTickRate                                138750128                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8517104                       # Number of bytes of host memory used (Byte)
simInsts                                      6612523                       # Number of instructions simulated (Count)
simOps                                       11577231                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   205002                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     358918                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          4475500                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.676822                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.477494                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        11836793                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    78935                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       12224091                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  14121                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               338411                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            544075                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                5030                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             4430501                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.759076                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.498857                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    987617     22.29%     22.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    921254     20.79%     43.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    546496     12.33%     55.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    458105     10.34%     65.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    337872      7.63%     73.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    289279      6.53%     79.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    396436      8.95%     88.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    288505      6.51%     95.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    204937      4.63%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               4430501                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   17830     10.43%     10.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     10.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     10.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     10.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     10.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     10.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     10.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     10.43% # attempts to use FU when none available (Count)
