
---------- Begin Simulation Statistics ----------
simSeconds                                   0.014942                       # Number of seconds simulated (Second)
simTicks                                  14941751000                       # Number of ticks simulated (Tick)
finalTick                                 14941751000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    108.46                       # Real time elapsed on the host (Second)
hostTickRate                                137760250                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8517108                       # Number of bytes of host memory used (Byte)
simInsts                                     19741345                       # Number of instructions simulated (Count)
simOps                                       36627445                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   182011                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     337698                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         14941752                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.756876                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.321220                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        36766573                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      250                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       47949704                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   9516                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               139372                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            191685                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  97                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            14896136                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.218936                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.633946                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   3371515     22.63%     22.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   2022989     13.58%     36.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1319003      8.85%     45.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1045578      7.02%     52.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2164099     14.53%     66.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1712503     11.50%     78.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1066674      7.16%     85.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1017180      6.83%     92.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1176595      7.90%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              14896136                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   13166      0.66%      0.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.66% # attempts to use FU when none available (Count)
