
---------- Begin Simulation Statistics ----------
simSeconds                                   0.020751                       # Number of seconds simulated (Second)
simTicks                                  20750765000                       # Number of ticks simulated (Tick)
finalTick                                 20750765000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    139.00                       # Real time elapsed on the host (Second)
hostTickRate                                149287184                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8518132                       # Number of bytes of host memory used (Byte)
simInsts                                     19741363                       # Number of instructions simulated (Count)
simOps                                       36627483                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   142025                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     263509                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         20750766                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.051131                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.951356                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        36775302                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      244                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       64400956                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  10845                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               148057                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            240933                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  91                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            20705706                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.110300                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.423373                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   4430098     21.40%     21.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   2809837     13.57%     34.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1894059      9.15%     44.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1668439      8.06%     52.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   3083281     14.89%     67.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3045097     14.71%     81.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1925766      9.30%     91.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1108553      5.35%     96.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    740576      3.58%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              20705706                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   15507      0.29%      0.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.29% # attempts to use FU when none available (Count)
